Year|Paper ID|Research Object
2021|Genfer2021|Architectural Aspects
2021|Genfer2021|Architecture Analysis Method
2021|Keim2021|Architecture Analysis Method
2021|Knoche2021|Architecture Evolution
2021|Koziolek2021|Architecture Optimization Method
2021|Le2021|Technical Debt
2021|Lo2021|Reference Architecture
2021|Monschein2021|Architecture Evolution
2021|Ntentos2021|Architecture Analysis Method
2021|Ntentos2021|Architecture Optimization Method
2021|Olsson2021|Architecture Analysis Method
2021|Pinciroli2021|Architecture Analysis Method
2021|Pinciroli2021|Architecture Pattern
2021|Raatikainen2021|Architectural Aspects,Architecture Decision Making
2021|Shabelnyk2021|Reference Architecture
2021|Shokri2021|Architectural Aspects
2021|Shokri2021|Architecture Analysis Method
2021|Sinkala2021|Architecture Optimization Method
2021|Sodhi2021|Reference Architecture
2021|Soliman2021a|Architecture Description
2021|Soliman2021|Architecture Design Decisions
2021|Woods2021|Architecture Decision Making
2021|Xu2021|Architecture Decision Making
